正确率统计
生成时间：2026/9/13 19:05:52
统计题数：28
未计入统计：第 22 题
累计答题次数：30
整体平均正确率：59.1%

题号	分类	答对次数	总次数	正确率	题目
1	动漫	1	1	100.0%	人气动画《我推的孩子》中，传奇偶像星野爱所在的偶像团体是？
2	动漫	1	1	100.0%	在《为美好的世界献上祝福》中，惠惠使用爆裂魔法的超长咏唱词的最后一个单词是？
3	动漫	0	1	0.0%	《物语》系列金曲“恋爱循环”是哪位角色的角色曲？
4	动漫	2	2	100.0%	《死神》系列中，反派蓝染的卍解名字是？
5	动漫	1	1	100.0%	《辉夜大小姐想让我告白》中，四宫辉夜最后去做的职业是？
6	动漫	1	2	50.0%	在《宝可梦》系列中，不能学习“龙舞”技能的宝可梦是？
7	动漫	1	2	50.0%	下列异世界动画中，哪部动画不涉及主角穿越进异世界的环节？
8	动漫	0	0	0.0%	下列恋爱动画中，哪个动画的故事不是发生在高中？
9	动漫	1	1	100.0%	在《刃牙》系列中，击败了宫本武藏的人是？
10	动漫	1	1	100.0%	《机动战士高达 铁血的奥尔芬斯》中，团长奥尔加·伊兹卡在临死前的最后一句话是？
11	动漫	1	2	50.0%	下列哪部少女乐队动画的主角乐队没有键盘手？
12	动漫	1	1	100.0%	下列哪件宝具，没有被卫宫士郎投影过？
13	动漫	2	2	100.0%	在《JoJo的奇妙冒险》中，哪句话不是乔斯达家的人说的？
14	动漫	0	1	0.0%	在《电锯人》第一季中，完结时电次吃的食物是？
15	动漫	1	2	50.0%	下列怪物中，哪一只怪物的首次出现是在《怪物猎人世界》中？
16	动漫	1	2	50.0%	“为了活下去，我要杀了你”这句台词出自？
17	动漫	0	1	0.0%	下列哪位女角色是完完全全的“直女”？
18	动漫	0	1	0.0%	在《EVA》TV版最后一集中，大家围着真嗣说了什么？
19	动漫	0	0	0.0%	以下哪名角色不具有多重人格？
20	动漫	1	2	50.0%	在万代南梦宫旗下作品中，出现了一句台词“我们不是机器！我们是活生生的人类啊！”，该作品是？
21	动漫	0	1	0.0%	在电影《千与千寻》中，角色“小白”的真实身份是？
23	动漫	1	1	100.0%	连一刻也没有为五条的死而哀悼，马上赶到战场的是——
24	动漫	0	0	0.0%	孩子们，我是奇异博士，你能帮我找出一条吉尔伽美什赢到最后的时间线吗？
25	动漫	0	0	0.0%	冬天是败犬的季节，那么下面哪个动画的女主角和男主角是青梅竹马并成功在一起了？
26	动漫	0	0	0.0%	同名角色是二次元界津津乐道的话题，下面哪两位同名角色性别相同？
27	动漫	0	1	0.0%	你接到一则报案，发生了一起凶杀案，死者有四个疑似身份，你觉得死者只可能是？
28	动漫	1	1	100.0%	以下哪部作品是真正的正作而非外传？
29	动漫	0	0	0.0%	以下哪张脸的主人是阿尔托莉雅？
